"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"106_SKYRA.long.template_106",8843,248.3,15022.1,48198.4,6223.1,3441.5,4888.4,1825,1184.1,2523.8,20281.1,3774.3,1383,1204.9,387.9,3666.4,87.6,1294,10591.2,236.1,14267.7,49654.1,6238.8,3480,4966.2,1718.7,3951.2,1315.1,538,3525.4,95.7,1161.2,0,651.2,0,0,5.7,0,0,204.2,1171.4,606.3,657.5,540.5,882.1,1070712,1043645,1043043.52018,228710.041023,227181.316761,455891.357784,206668.351074,201020.811325,407689.162399,52822,606939.357784,941051.520183,918747.520183,916972,1381105,0.751373,0.969192,1425006.49867
"107_VERIO.long.template_107",11747.9,457.6,16252.6,49689.4,7313.2,3527.1,4544,2250.8,1133.6,2799.9,23323.9,3635.5,1790.6,1225.2,415.1,3654.2,93.3,1325,11390.2,455.1,15025.3,50808.5,7625,3461.7,4768.8,1994.6,3783.4,1694.8,576.6,3739,53.6,1436.4,6.4,840,0,0,16.9,0,0,254.9,1105.4,651.5,550.2,523.2,1118.1,1242474,1210551,1210266.21908,247062.534114,249478.237116,496540.77123,262606.619344,262437.828506,525044.44785,56104,654938.77123,1108038.21908,1081238.21908,1077824,1598292,0.751197,0.966324,1653992.17901
"107_SKYRA.long.template_107",11681.7,444.7,15504,51210.1,7575.3,3592.6,4648.9,2245.1,1066.8,2660.4,22161.9,3687.5,1819.3,1183,478.2,4077.6,124.8,1235.7,11236,472.7,14310.4,51407.5,7728.3,3570.4,4801.1,2023.3,3825.6,1862.8,594.1,4152.1,59,1417.8,8.5,845.4,0,0,15.8,0,0,271.9,1100.1,668.8,527.4,536.4,1142.8,1254793,1223487,1223144.80966,249099.762401,250920.079458,500019.841859,266267.874675,266382.093125,532649.9678,58056,661795.841859,1119895.80966,1093380.80966,1090968,1598227,0.758645,0.966284,1653992.17901
"108_VERIO.long.template_108",8428.4,530.8,17216.4,47357.9,7447.5,3755.7,4535.1,1902.7,925,3212,22247.3,3940.6,1500.9,789.4,503.1,3748.3,41.9,1436.6,7035.6,579.6,16302.2,48876.7,7402.7,4499.3,4628.9,1943.7,4301.5,1859.9,549.9,3916.9,52.7,1198.6,3,3807,0,0,8.2,0,0,189,958.9,525.9,529.5,611.2,1277.4,1163384,1139416,1139542.25672,238356.66007,242816.144774,481172.804844,233931.500802,236525.951079,470457.45188,58356,636750.804844,1031417.25672,1012312.25672,1009802,1603606,0.741824,1.022529,1568274.24995
"108_SKYRA.long.template_108",8699.3,579.5,16153.8,49222.6,7430.8,3773.4,4508.4,1836.2,893.5,3213,21973.4,4053.4,1665.6,767.2,567.4,3985.8,97.2,1357.8,7175.1,627.5,15295.8,50284.7,7490.5,4488.3,4645.8,1986.2,4402.3,1934,561.3,4151,53.8,1244.5,2,3781.7,0,0,11.8,0,0,203.6,952.6,597,493.3,532.6,1194.4,1169285,1144945,1145166.42312,240377.947383,240596.265947,480974.21333,236934.02762,237424.182172,474358.209793,59413,640988.21333,1036501.42312,1016966.42312,1014511,1601910,0.745587,1.021448,1568274.24995
"109_VERIO.long.template_109",4328.6,208.6,14795.6,46924.5,6517.7,3034.9,5040,1882.2,905.8,1752.7,21163.8,4175.2,1868.1,1087.6,574,3736.6,127.5,964.7,4548.3,330.1,15353.4,46689.7,6499.2,3150,5168.1,1804,4181.6,1974.7,795.5,4030.1,249.7,723.7,8.5,1696.1,0,0,12.5,0,0,177.7,1083.3,600.9,887,845.7,975.2,1200345,1185807,1185993.84807,259792.786789,258035.957065,517828.743854,244151.243559,243016.860652,487168.104211,56403,669014.743854,1075194.84807,1064234.84807,1061431,1620773,0.76048,1.026842,1578405.28456
"109_SKYRA.long.template_109",4341.2,227.2,13982.3,46869.2,6575.9,3123.6,5047.5,1892,914.3,1750.6,21231.8,4305.7,1832.8,1049.6,641.2,3863.3,144.8,986,4688.6,322.4,14544,46967.8,6558.6,3246.1,5179,1830.4,4262.1,2000.8,810.9,4106.7,267,733.9,5.7,1517.1,0,0,6.1,0,0,177.3,1079.5,607.7,917.9,852.9,957.1,1208009,1193439,1193632.22424,263048.260904,262270.509481,525318.770385,243901.028596,243908.425262,487809.453858,57460,677999.770385,1084454.22424,1073437.22424,1070628,1623215,0.765335,1.028389,1578405.28456
"110_VERIO.long.template_110",10474.9,188.3,14473.1,51324.4,7107.5,3682.6,5149.9,2149.9,946.9,1852.1,20173.8,3984.6,1749.9,1018.3,572.8,3951.1,67.7,754.4,7753.3,728.7,14252.2,51790.1,7411.4,3699,5311.9,1911.7,4175.8,1764.2,661,3960.6,109,693.5,3.4,856,0,0,9.6,0,0,184.2,1242.4,628.6,785.5,787.3,1084.9,1142518,1118022,1117801.39399,239387.634381,237166.336077,476553.970458,227244.187721,223337.235809,450581.423531,58518,639357.970458,1008512.39399,987769.393989,985850,1590670,0.755535,1.051893,1512198.02131
"110_SKYRA.long.template_110",10519.9,189.7,14846.9,52260.9,7211.1,3673.9,5228.7,2143.6,964.5,1810.3,20261.1,4143.9,1639.5,1040.5,595.4,4149,73.1,896.8,7734.3,751.6,14492.4,53255.9,7620.6,3707.7,5340.4,1939,4284.1,1729.8,707.1,4040.1,119.2,798.9,0,889.9,0,0,5.7,0,0,186.6,1263.7,642.8,805,787.9,1104.9,1179155,1154519,1154564.49863,246557.602469,247149.341534,493706.944003,234076.013053,232108.541572,466184.554625,59564,659987.944003,1042933.49863,1022007.49863,1019407,1593307,0.779762,1.053636,1512198.02131
"111_VERIO.long.template_111",5479.5,234.8,15518.4,60590.1,8001.6,4277.7,5584.7,1762.6,983.1,2136.8,22444.5,4719.5,1575.7,1317.7,763.5,4088.1,41.1,955.2,4241.3,197.8,15572.3,63377,8000.2,4468.8,5580.5,1694.1,4707.8,1914.4,798.2,4263.8,44.5,865.7,0,1064.1,0,0,2,0,0,169.4,967.6,571.6,687.5,617,843.2,1353091,1337003,1337843.80935,320568.002911,321314.031667,641882.034578,237453.467424,238581.307349,476034.774774,64093,831855.034578,1197243.80935,1185554.80935,1181062,1848309,0.794396,1.085138,1703294.45775
