"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"9_unwarped_SKYRA.long.template_9_unwarped",6565.3,158.8,13930.7,47366.9,6172.4,3701.5,4658.6,1601.6,733.1,2361.8,17570.9,3519.7,1551.7,978.4,568.7,3288.8,102.4,1087.1,6067.7,103.2,11539.3,49141.3,6181.7,3895.6,4748.7,1463.2,3593.7,1669.1,630.8,3198.4,101.1,1051.3,0,535.3,0,0,5.7,0,0,210.7,957,537,499.3,566.4,1054.6,995867,977107,976689.927652,219341.375861,218569.257804,437910.633664,182443.581038,181733.712949,364177.293988,52133,588267.633664,871446.927652,856570.927652,854675,1388517,0.756064,1.054165,1317172.43303
"10_unwarped_VERIO.long.template_10_unwarped",16521.1,343.4,19121.4,63307.3,8055.7,4359.5,5482.7,2281.4,1394.8,3252.4,26343.5,4064.4,1700.4,1458.3,595.6,4468.9,101.6,1321.6,14013.7,270.9,19324.6,65916.9,7794.8,4565.8,5677.6,2105.8,3930.7,1845.2,718.7,4409.1,80.8,1305.2,2.5,833.8,0,0,13.8,0,0,180.4,931.3,482,497.7,514.5,1212,1284790,1244744,1244478.96698,268252.180403,262792.562438,531044.742841,242981.872444,238124.351696,481106.22414,63940,725307.742841,1113279.96698,1079319.96698,1076396,1730075,0.756868,1.019184,1697509.4047
"10_unwarped_SKYRA.long.template_10_unwarped",16247.1,287.1,19550.3,65716.4,8191,4491.1,5601.6,2229.2,1319.9,3132.5,25693.8,4245.3,1785.1,1495.7,641,4978.8,102.6,1325.2,13820.4,218.2,19476.2,67572.8,8131.6,4664.3,5797.8,2108.5,4065,1988,762.5,5076.9,94.1,1369.9,5.4,826.2,0,0,28.4,0,0,208.9,933.4,491.8,515.7,510.4,1227.9,1309318,1270186,1269682.99955,270548.608222,265932.449018,536481.05724,248790.894802,244770.047512,493560.942314,66779,737788.05724,1133402.99955,1100080.99955,1097316,1731066,0.771317,1.019768,1697509.4047
"11_unwarped_VERIO.long.template_11_unwarped",5127.7,180.9,12708.8,48981.5,6549.7,3270.1,4178.2,1576.6,725.8,1805.9,17818.7,3360.7,1599.3,1005,493.9,3184.6,71,947.7,4352.7,289,12446.1,51150.2,6575.5,3274,4146,1469.4,3685.2,1553.5,585.9,3155.5,107.1,809.6,4.9,400.2,0,0,2,0,0,144.9,809.5,514.4,470,458.7,847.2,1045257,1030326,1030727.02896,228312.822302,227006.338667,455319.16097,201397.373171,197875.49482,399272.86799,50266,606776.16097,919109.02896,907540.02896,904500,1415100,0.769765,1.042131,1357890.98785
"11_unwarped_SKYRA.long.template_11_unwarped",4729.7,144.5,12989.6,50731,6783.7,3350.2,4249.6,1576.2,666.8,1787,18127.2,3476.8,1676.5,849.5,499.7,3263.5,70.3,995.5,3989.5,287.9,12944.6,53096.6,6761,3422.2,4137.9,1540.3,3769.5,1623.9,600.5,3256.8,120.1,884.7,4.9,307.5,0,0,9.7,0,0,141.6,838.8,512.7,471.2,477.7,860,1075385,1061538,1061955.27499,239687.290399,241365.681026,481052.971425,200708.792319,198234.511244,398943.303563,51587,637617.971425,945227.274989,934481.274989,931206,1418432,0.791952,1.044585,1357890.98785
"12_unwarped_VERIO.long.template_12_unwarped",6595.4,490.1,15594.9,55081.7,7573.2,4388,5250.3,2269.1,602.2,2306.5,22301.8,4318.4,1779.6,880.3,560.3,4483.2,98,1040.3,5559.4,267.7,14767,54643.8,7963.7,4522.7,5272.4,2118.5,4384.5,1850,668.6,4376,123.4,916.2,3.7,385.7,0,0,15.5,0,0,257.4,1003.2,568.4,509.7,452.4,868,1126284,1107867,1108253.70362,244009.06347,244766.443511,488775.506981,208245.914262,208196.28238,416442.196642,63425,662520.506981,984930.703623,970124.703623,968239,1568685,0.738395,1.028435,1525313.06369
"12_unwarped_SKYRA.long.template_12_unwarped",6608.9,565.5,16044.3,56786.2,7587.1,4374.3,5187.3,2241.5,608.6,2237.1,22065.1,4371.3,1920.2,928,603.7,4596.1,121.2,1120.6,5612.6,291.8,14545.7,56447.3,8015.1,4562.2,5329.1,2129.6,4398.5,1862.9,726.6,4459.8,120.4,984,0,439.8,0,0,3.7,0,0,296.7,1007.7,597.4,636.5,599.8,843.5,1143727,1125236,1125676.17872,247233.802601,248780.503313,496014.305913,210542.108322,211730.764481,422272.872803,64041,673913.305913,999038.178716,984047.178716,981876,1572294,0.749831,1.030801,1525313.06369
"13_unwarped_VERIO.long.template_13_unwarped",8392.1,637.4,18466.3,56999.2,7493.4,3894.5,5058.6,2095.8,934.1,1840.2,24701.5,3923.4,1606.3,1345.9,452.2,3854.2,77,1058.5,6675.8,311.6,17943.9,57793.1,7565.6,4073,4976.8,1947.6,4240.2,1773.4,627.4,3868,69.9,981.9,0,547.3,0,0,8.1,0,0,166.9,659.2,456.2,517.1,606.1,878.8,1153077,1130959,1130738.27613,245623.287276,241902.555443,487525.842719,216519.138467,215226.294947,431745.433415,59290,662638.842719,999722.276134,981676.276134,978741,1580729,0.75541,1.035576,1526424.63625
"13_unwarped_SKYRA.long.template_13_unwarped",8388.1,637.5,18718.5,59513.1,7622.7,3929.5,5129.7,2095.1,917.1,1710.4,23997.8,3931.8,1673.9,1359.2,483.8,4330.4,86.5,1117.4,6736,300.3,17298.8,60290.9,7727.4,4092.6,5057.7,1991.4,4217.7,1662,613.8,4440.6,59.7,1133.7,0,598.5,0,0,8.5,0,0,183.9,702.1,420.8,533.7,617.3,855.4,1173205,1151228,1150925.07691,250702.5568,246527.216925,497229.773725,218833.011437,217436.291742,436269.30318,60833,678963.773725,1015561.07691,997412.076905,994585,1582489,0.768597,1.036729,1526424.63625
"14_unwarped_VERIO.long.template_14_unwarped",10631.2,528.4,19447.8,52803.2,8270.4,4540.3,5471.4,2428.6,902.9,2604.4,26527.5,4170.3,1930.6,765.5,533.3,3948.3,81.2,1404,14906.3,555.6,18346.4,54845.2,8481.7,4668,5418.3,2261.9,4358.9,1889.7,804.2,4050.9,108.2,1219,13.4,1084.4,0,0,17.1,0,0,186,1065.5,577.8,502,567.4,1120.7,1303487,1270043,1270448.7814,264507.837308,267164.232128,531672.069436,262591.245872,264501.466092,527092.711965,65157,706122.069436,1156204.7814,1126964.7814,1123511,1755202,0.778265,1.047967,1674863.13903
