"ID","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent.y","eTIV.y"
"68_SKYRA.long.template_68",770,937,1967,2064,489,3519,4651,3435,1107,6432,3352,3623,2283,3515,713,1607,1654,1219,2004,1951,3741,1342,4210,4081,809,7415,9283,6393,3651,3429,433,596,381,2344,95403.3,1259845,1640832.99821,946,721,2663,1605,453,3075,4422,4194,1287,5417,3483,3311,1958,3456,695,1431,1795,827,1573,1765,4491,1218,4885,3993,1073,7572,8378,7250,4218,4109,310,526,582,2776,96362.3,1259845,1640832.99821
"69_VERIO.long.template_69",1045,995,2115,1605,287,3168,6049,3486,1106,5650,2598,3506,2125,4300,688,1587,1568,851,1691,1800,3921,1391,4748,4421,620,5903,7724,5317,3738,3700,382,543,329,2566,91523.4,1210329,1587570.58856,1399,857,2563,1609,435,3140,5834,3995,1319,5313,2768,3104,1848,4166,798,1399,1775,710,1341,1386,4348,1571,4945,4065,969,5696,8145,5476,3779,3639,303,424,342,2761,92223.8,1210329,1587570.58856
"69_SKYRA.long.template_69",1062,961,2110,1612,294,3222,6181,3531,1116,5904,2316,3594,1977,4327,690,1576,1542,815,1675,1839,3881,1350,4680,4413,596,5814,7607,5380,3704,3717,390,560,333,2613,91381.7,1208639,1587570.58856,1428,839,2534,1663,433,3190,5968,4052,1343,5531,2780,3220,1837,4126,797,1396,1762,694,1335,1406,4309,1544,4828,4075,986,5660,7993,5508,3779,3640,297,453,352,2699,92456.2,1208639,1587570.58856
"70_VERIO.long.template_70",987,845,2156,1517,358,2666,7187,3503,1057,5215,2799,3696,2299,4139,646,1642,1122,1104,1401,1709,4276,1622,5579,3693,773,7466,7710,5204,4010,3762,403,575,290,2454,93863.4,1215713,1614070.21106,1586,859,2662,1444,494,3277,5447,3353,1103,4372,2803,2843,1801,3325,692,1307,1454,768,1418,1524,4035,1494,5020,3559,1185,7226,7730,5786,4527,5701,225,529,478,2968,92994.7,1215713,1614070.21106
"70_SKYRA.long.template_70",1013,851,2096,1529,363,2712,7051,3457,1029,5307,2807,3747,2309,4109,630,1576,1133,1078,1373,1708,4018,1595,5333,3668,770,7464,7529,5088,3945,3712,393,563,285,2558,92798.5,1194876,1614070.21106,1616,837,2612,1484,465,3304,5460,3362,1091,4486,2777,2942,1791,3284,688,1279,1431,750,1394,1546,3807,1464,4861,3488,1175,7235,7503,5664,4509,5654,235,567,472,2961,92190.5,1194876,1614070.21106
"71_VERIO.long.template_71",1068,722,2309,1600,499,3349,6366,3991,1074,5332,2927,3148,2063,4703,770,1759,1513,1145,2089,1509,5053,1292,5185,4284,768,6699,7588,6361,4334,5130,323,559,350,2764,98626.4,1330340,1778680.90061,876,695,2408,1488,483,3475,4554,3772,1369,5569,3303,3015,2197,4326,715,1548,2211,820,1644,1348,5088,1461,5249,4126,1087,5835,8020,6434,4987,6018,289,567,507,2948,98429.8,1330340,1778680.90061
"71_SKYRA.long.template_71",1109,716,2280,1640,486,3373,6520,3990,1068,5508,2921,3235,2049,4717,765,1733,1502,1122,2054,1522,4917,1319,5093,4323,764,6692,7362,6573,4292,5155,323,492,374,2774,98763.6,1325628,1778680.90061,886,678,2355,1554,509,3512,4680,3800,1374,5716,3302,3090,2187,4317,693,1501,2190,807,1628,1403,4985,1440,5146,4127,1081,5848,7749,6511,5008,6071,301,533,501,3002,98469.5,1325628,1778680.90061
"72_VERIO.long.template_72",1065,681,2195,1765,361,3315,5783,3414,988,4756,2669,3282,2180,4250,684,1459,1703,788,1374,1634,4223,1138,4767,4896,654,6069,7512,5962,4031,4546,351,448,398,2723,92063.5,1210165,1537448.86285,1156,420,2489,1812,375,3224,5139,3117,1211,5444,2954,3224,2232,3393,587,1448,1865,698,1299,1585,4485,1080,5034,4456,844,5882,7836,5411,4859,4726,263,514,748,2798,92606.2,1210165,1537448.86285
"72_SKYRA.long.template_72",1097,660,2138,1775,356,3358,5849,3456,985,4901,2686,3365,2210,4254,692,1421,1693,788,1367,1643,4019,1125,4607,4825,634,6029,7334,5971,4015,4506,366,468,395,2754,91740,1192053,1537448.86285,1177,413,2378,1852,353,3232,5227,3158,1196,5578,2981,3355,2108,3375,584,1387,1866,674,1296,1629,4287,1069,4898,4416,772,5971,7621,5353,4905,4681,266,527,723,2795,92103.5,1192053,1537448.86285
"73_VERIO.long.template_73",909,788,2065,1284,422,2915,4960,3190,849,4153,2470,3057,1940,3259,690,1324,1293,757,1393,1460,3895,1391,4173,3552,662,5235,6851,4706,3443,3578,264,467,309,2072,79774.1,1115043,1470566.579,947,629,1911,1264,527,2978,4634,3341,925,4861,2390,2918,1976,3161,684,1081,1566,651,1274,1229,4041,1239,4273,3454,677,5351,6998,4827,3476,3579,248,431,338,2242,80120.9,1115043,1470566.579
