"bids_name","cjv","cnr","efc","fber","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","qi_1","qi_2","rpve_csf","rpve_gm","rpve_wm","size_x","size_y","size_z","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm","spacing_x","spacing_y","spacing_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","tpm_overlap_csf","tpm_overlap_gm","tpm_overlap_wm","wm2max"
"1_SKYRA_D",0.365959135715127,3.51436625253873,0.520754518683881,4038.76025390625,3.25353333333333,3.22828,3.43608,3.09624,0.18516951775953,0.428388224324328,0.386442257916142,1.40821743011475,0.313537800312042,0,0.00845656022132304,31.8029171576959,15.2603568214607,20.6689439143678,176,240,256,2.37254215150477,9.73240677683671,11.1751057893309,21.4203684396512,26.3394867797641,60.3934764311442,57.7430872978312,86.4962986825851,1,1,1,14.0152973180848,7.57413101196289,8.45790863037109,5.16066789627075,2798369,0,20.6219703674316,6.91486310958862,14.2841684538861,120.285110473633,327.457275390625,304.514801025391,7465,166.753161621094,535.602270507812,128.34098815918,0.0832539695560048,68.9971542358398,700.215881347656,698.218139648438,12024,582.926422119141,822.32389831543,71.7385864257812,1.31766933118463,41.4415130615234,998.131164550781,999.996826171875,171718,918.572988891602,1069.71276855469,46.684253692627,0.242602720856667,0.516814410686493,0.577638506889343,0.455567121987825
"1_SKYRA_ND",0.371928460272045,3.42123238261391,0.508720365078593,4336.55224609375,3.06851,3.08816,3.21538,2.90199,0.179552719465206,0.43052656832593,0.389920712208864,1.40434765815735,0.285782331228256,0,0.0181779556938882,32.487745209216,15.1537257326468,20.4430272205814,176,240,256,2.2540073890921,9.38696417599545,10.7096572988624,20.4880003314997,28.80417113064,61.335847258974,59.4504373995407,88.211293809008,1,1,1,6.95701470734561,7.42680978775024,8.13743114471436,5.0186824798584,2944083,0,24.9241117477417,7.85783386230469,9.2272446519229,156.491546630859,341.514038085938,326.532165527344,4751,159.782867431641,559.185607910156,144.852142333984,0.186686420741625,69.2310256958008,697.058532714844,695.320373535156,10069,574.582568359375,825.898229980469,74.0692977905273,1.11135167698903,44.0835266113281,998.075378417969,999.987976074219,173376,914.974411010742,1073.31060791016,48.8083305358887,0.228601351380348,0.511413037776947,0.572045385837555,0.442936440884658
"1_VERIO_D",0.387618178503806,3.35221181519512,0.497687533708464,3340.57885742188,3.19459666666667,3.18451,3.37216,3.02712,0.180927866302483,0.428231579749263,0.390840553948254,1.50614929199219,0.327179974317551,0,0.0141120040712087,32.921606241592,15.4107400168759,20.5104090176519,176,240,256,2.20142261714494,8.96819314432562,10.5534078006251,20.4906076404048,36.0751956399665,86.7016677925936,82.6414355506995,125.147443219539,1,1,1,6.29525447793094,5.23485612869263,7.90585088729858,7.04963445663452,2531285,0,21.1936393737793,7.03317642211914,3.37122893658503,139.996826171875,311.923187255859,288.258239746094,6312,144.92699432373,537.221942138672,130.931427001953,0.224591974687941,73.9619827270508,693.473510742188,692.788208007812,11743,565.660363769531,821.252117919922,77.2461853027344,0.744553860085026,45.114444732666,999.588806152344,999.988525390625,168964,919.235736083984,1078.469140625,48.8021430969238,0.235060542821884,0.511279225349426,0.566897451877594,0.448457884162752
"2_SKYRA_D",0.398336430420384,3.17180258229082,0.547156230375277,3915.04272460938,3.29508666666667,3.27961,3.49561,3.11004,0.216663150874257,0.393787368750388,0.389549480375355,1.39759302139282,0.269549119472503,0.0891152723697757,0.0297913433575577,26.6727531267169,15.0953157439202,19.6255587300545,176,240,256,3.43631217074643,8.6176452925461,11.5587510134295,22.6222955769959,34.2137565112889,60.2993770484649,60.0329121584338,85.5856029155476,1,1,1,22.9185754192595,7.6546311378479,7.24299240112305,5.2551121711731,1725082,0,20.819545173645,6.24810981750488,4.55991137123217,108.712371826172,371.902008056641,399.754455566406,12710,176.004354095459,531.815127563477,116.327827453613,0.145017230271519,76.8041610717773,710.124267578125,704.53955078125,13178,582.452395629883,856.050915527344,81.7523574829102,0.753316981154312,40.88232421875,999.004455566406,999.984497070312,189228,924.47702331543,1068.78059692383,44.2033767700195,0.223780363798141,0.494188457727432,0.581433355808258,0.464608276959219
"2_SKYRA_ND",0.392485338336322,3.18287890160497,0.532575822436176,4197.57568359375,3.14117333333333,3.15489,3.33139,2.93724,0.209113513331975,0.400175064541216,0.39071142212681,1.43373155593872,0.260017544031143,0,0.0220130578912532,27.1157080959539,14.8511162698186,19.3406972165636,176,240,256,3.25289613550009,8.38682734880971,11.1536444488369,21.8212098622008,33.1637479231023,60.0104363347882,59.7566134275669,86.0956560248102,1,1,1,10.5430136318723,7.60932397842407,7.73433876037598,5.13424491882324,2524259,0,20.5955371856689,7.3871922492981,8.46731348365542,116.040771484375,363.382781982422,385.192626953125,12489,173.325973510742,527.768322753906,118.410545349121,0.303688958799113,76.1699066162109,700.922180175781,697.013427734375,12348,569.725500488281,849.346032714844,83.1047515869141,0.656575425426808,42.7439041137695,998.4990234375,999.989868164062,191588,920.501669311524,1070.13902587891,45.8263893127441,0.230461567640305,0.500154495239258,0.582920491695404,0.462402387575879
"2_VERIO_D",0.372594143062806,3.38029750308263,0.500877072899685,2820.22290039062,3.18029666666667,3.18442,3.36955,2.98692,0.218971518710755,0.388637742787002,0.392390738502243,1.48182928562164,0.273266297578812,0,0.020213399554631,27.2904445704723,15.4905672697829,19.89388746997,176,240,256,3.17115864975381,8.52560634907211,11.2257409478842,21.9804578448268,41.6782246258225,80.4233334943658,79.7735098258316,117.218971357307,1,1,1,6348.56180510106,5.58891153335571,8.42762279510498,7.52773141860962,2991032,0,22.5740278244019,8.84285259246826,-0.504141730474419,117.286926269531,334.765502929688,355.553314208984,11647,151.802923583984,501.689944458008,112.116134643555,0.348303924849536,74.7882537841797,686.040466308594,686.08447265625,11303,553.616857910156,822.013537597656,80.4698333740234,0.766358094557414,42.1691932678223,998.760559082031,999.98486328125,182530,921.785528564453,1070.41338500977,45.4941444396973,0.222710475325584,0.4850834608078,0.577583611011505,0.50089977665696
"3_SKYRA_D",0.376808138094056,3.3684426021635,0.582893741487314,5665.87890625,3.38447666666667,3.42468,3.54304,3.18571,0.199091923660055,0.409605583592221,0.391302492747724,1.35707569122314,0.41056701540947,0.0953431437966671,0.0290367454898888,22.3678690784527,11.6679964451466,15.3679631254105,176,240,256,2.74271417080966,9.34228839824136,10.892823048498,20.5934665764428,38.1161279355903,68.3564649321291,68.2828971851094,98.3760986876089,1,1,1,8221.86914221225,6.65943241119385,6.12856292724609,4.55344343185425,1717478,0,13.9290503501892,17.8099193572998,14.9447380245071,163.888717651367,382.213836669922,387.448760986328,7927,173.810035705566,569.264489746094,141.255813598633,0.0694517436216024,72.8596649169922,697.055786132812,694.840454101562,20076,577.466644287109,822.722610473633,74.3739776611328,1.35034196567124,42.1226806640625,996.756652832031,999.988708496094,241145,910.647009277344,1069.03571777344,48.5584411621094,0.21670763194561,0.498304486274719,0.564494788646698,0.412740995721888
"3_SKYRA_ND",0.393376541888063,3.26572879456919,0.570954699512347,5823.88818359375,3.20499,3.27863,3.3225,3.01384,0.187348045994717,0.418778943571073,0.393873010434209,1.28338897228241,0.349810481071472,0,0.0226684737382018,23.3644207684709,11.5236223371538,15.2521003987775,176,240,256,2.70797454228788,8.89145704773753,10.5811898732572,20.1441380297463,37.9124363636856,67.4812594534692,67.5623542529773,97.293366941777,1,1,1,9341.79613794277,6.73352193832397,6.96929883956909,4.54199552536011,2465562,0,18.2450580596924,15.9567651748657,14.6897477956151,165.199493408203,383.246643066406,389.665771484375,7360,173.497134399414,571.517193603516,143.885879516602,-0.00475283997244436,76.3763656616211,696.280944824219,693.575500488281,19743,571.520220947266,831.463537597656,78.0027313232422,1.13460833257592,44.1582260131836,997.478149414062,999.985717773438,243242,911.075015258789,1072.91739501953,49.6414222717285,0.217229083180428,0.501675426959991,0.56333202123642,0.398051004708818
"3_VERIO_D",0.37997874215668,3.44920811432408,0.553359815734237,2383.16528320312,3.39740333333333,3.39061,3.57239,3.22921,0.202693668766449,0.401266038822106,0.396040292411446,1.42979824542999,0.41210823059082,0,0.0165889779963877,22.4671961224533,11.8770721766053,15.3408530721715,176,240,256,2.8209045537373,8.84743153191083,10.7262616577135,20.5104488874924,39.9774863402746,73.1746231357766,73.4025345024229,107.055494031218,1,1,1,6074.54308343808,6.11953067779541,9.31969833374023,8.24235153198242,2288513,0,24.6946258544922,8.57727718353271,3.69328268746998,154.276824951172,361.028289794922,373.423706054688,8867,150.321369934082,548.511853027344,132.369827270508,0.116639832454508,76.0438995361328,684.400451660156,683.51318359375,15804,558.708267211914,814.460144042969,77.2531051635742,0.906032579346206,44.2103042602539,998.233337402344,999.989318847656,235103,915.189697265625,1074.26005859375,48.755012512207,0.213942408561707,0.493014544248581,0.563935518264771,0.413990763906477
"4_SKYRA_D",0.457195381651735,2.86840555911775,0.561978755588584,5352.04248046875,3.21414666666667,3.19315,3.32087,3.12842,0.188414568116423,0.446305541071578,0.365279890811999,1.41480600833893,0.384765255451202,0,0.0188216925930322,26.7023029507022,12.4784087104922,17.715729265653,176,240,256,0.841840813333879,9.0566840463449,9.16645496115273,17.6008400237794,32.5237528475232,64.2059737887048,62.1293928613284,89.6584519477572,1,1,1,7378.3672642321,7.30717515945435,8.46359634399414,4.97688961029053,3321198,0,19.8884887695312,17.7459411621094,8.9822185316465,178.044738769531,477.163055419922,362.759216308594,10132,158.414497375488,1669.42315063477,430.890625,-0.0278320917801698,78.2481689453125,716.637634277344,716.132263183594,28135,587.329797363281,848.8201171875,79.0708312988281,0.699951317445009,51.5443649291992,999.885314941406,1000.02081298828,193042,905.294839477539,1093.10272216797,56.8165054321289,0.215991094708443,0.499733030796051,0.551566421985626,0.441205184618435
